Идентификатор рейса,Количество BSM в данном рейсе
8643559.0,221
8643561.0,126
8643562.0,92
8643564.0,97
8643565.0,51
8643566.0,212
8643567.0,48
8643572.0,189
8643574.0,91
8643576.0,32
8643577.0,34
8643578.0,86
8643583.0,53
8643584.0,36
8643585.0,46
8643587.0,30
8643588.0,38
8643589.0,128
8643590.0,77
8643591.0,101
8643592.0,164
8643593.0,90
8643597.0,137
8643599.0,77
8643602.0,118
8643606.0,72
8643610.0,30
8643611.0,54
8643615.0,106
8643622.0,6
8643623.0,22
8643629.0,24
8643632.0,45
8643633.0,69
8643634.0,64
8643637.0,34
8643638.0,28
8643640.0,28
8643643.0,47
8643649.0,23
8643651.0,109
8643654.0,24
8643657.0,34
8643658.0,55
8643659.0,18
8643661.0,9
8643662.0,39
8643665.0,57
8643667.0,101
8643668.0,53
8643670.0,379
8643672.0,81
8643674.0,51
8643675.0,42
8643680.0,40
8643681.0,31
8643683.0,113
8643684.0,49
8643685.0,46
8643689.0,30
8643690.0,84
8643691.0,61
8643692.0,62
8643694.0,213
8643695.0,78
8643698.0,83
8643700.0,115
8643701.0,19
8643702.0,73
8643703.0,54
8643704.0,54
8643705.0,232
8643707.0,45
8643708.0,88
8643711.0,49
8643713.0,148
8648722.0,46
8643716.0,45
8643717.0,26
8643720.0,12
8643721.0,52
8643723.0,44
8643725.0,37
8643728.0,19
8643730.0,52
8643736.0,24
8643738.0,99
8643739.0,105
8643741.0,83
8643742.0,222
8643744.0,242
8643746.0,108
8643748.0,61
8643751.0,62
8643752.0,194
8643753.0,41
8643755.0,39
8643756.0,81
8643757.0,54
8643759.0,117
8643761.0,45
8643762.0,52
8643763.0,58
8643764.0,50
8643765.0,16
8643767.0,55
8643768.0,67
8643770.0,72
8643772.0,30
8643774.0,71
8643775.0,49
8643777.0,76
8643779.0,50
8643780.0,96
8643784.0,46
8643785.0,57
8643788.0,69
8643790.0,84
8643792.0,130
8643793.0,217
8643794.0,27
8643795.0,102
8643796.0,94
8643798.0,133
8643803.0,37
8643805.0,51
8643806.0,34
8643807.0,76
8643809.0,43
8643811.0,48
8643812.0,64
8643813.0,35
8643815.0,105
8643820.0,25
8643821.0,52
8643822.0,140
8643823.0,48
8643826.0,57
8643828.0,51
8643829.0,72
8643830.0,28
8643831.0,87
8643833.0,55
8643837.0,29
8643838.0,285
8643839.0,91
8643840.0,55
8643843.0,154
8643844.0,58
8643847.0,44
8643850.0,22
8643852.0,48
8643853.0,136
8643854.0,91
8643855.0,443
8643861.0,66
8643862.0,78
8643865.0,169
8643866.0,87
8643869.0,110
8643870.0,87
8643877.0,64
8643880.0,249
8643884.0,70
8643892.0,154
8643895.0,78
8643897.0,32
8643898.0,134
8643901.0,33
8643904.0,60
8643906.0,145
8643907.0,52
8643909.0,40
8643914.0,27
8643915.0,35
8643917.0,59
8643918.0,85
8643919.0,41
8643920.0,38
8643922.0,34
8643925.0,91
8643929.0,77
8643930.0,79
8643931.0,61
8643932.0,50
8643933.0,58
8643934.0,51
8643937.0,84
8643939.0,81
8643944.0,103
8643945.0,48
8643947.0,76
8643949.0,65
8643956.0,53
8643958.0,101
8643959.0,65
8643960.0,48
8643961.0,82
8643962.0,42
8643963.0,66
8643966.0,76
8643969.0,47
8643971.0,51
8643972.0,57
8643975.0,55
8643979.0,182
8643983.0,115
8643984.0,38
8643985.0,57
8643988.0,39
8643991.0,79
8643992.0,57
8643995.0,76
8643999.0,30
8644001.0,42
8644002.0,55
8644006.0,410
8644008.0,55
8644009.0,40
8644010.0,93
8644014.0,86
8644015.0,66
8644016.0,124
8644020.0,61
8644025.0,244
8644027.0,380
8644028.0,26
8644030.0,306
8644033.0,36
8644034.0,96
8644036.0,42
8644037.0,73
8644038.0,81
8644041.0,85
8644042.0,248
8644043.0,91
8644045.0,86
8644048.0,74
8644050.0,51
8644053.0,41
8644056.0,68
8644057.0,73
8644061.0,56
8644063.0,93
8644066.0,64
8644069.0,74
8644073.0,69
8644076.0,296
8644079.0,101
8644080.0,110
8644084.0,273
8644085.0,43
8644087.0,81
8644089.0,116
8644090.0,40
8644092.0,172
8644096.0,34
8644097.0,244
8644101.0,30
8644102.0,44
8644103.0,47
8644105.0,96
8644108.0,36
8644109.0,179
8644110.0,66
8644112.0,56
8644113.0,53
8644116.0,38
8644121.0,36
8648674.0,50
8644123.0,58
8644126.0,71
8644130.0,385
8644131.0,48
8644132.0,36
8644133.0,188
8644136.0,39
8644137.0,383
8644139.0,65
8644140.0,209
8644143.0,55
8644147.0,404
8644148.0,107
8644149.0,159
8644151.0,93
8644152.0,341
8644154.0,65
8644156.0,290
8644157.0,41
8644158.0,35
8644160.0,40
8644163.0,61
8644164.0,45
8644169.0,175
8644170.0,86
8644171.0,49
8644172.0,93
8644173.0,84
8644180.0,28
8644182.0,55
8644184.0,330
8644188.0,28
8644189.0,45
8644191.0,94
8644194.0,68
8644195.0,234
8644199.0,43
8644201.0,43
8644203.0,181
8644206.0,144
8644207.0,75
8644210.0,63
8644213.0,25
8644216.0,60
8644217.0,61
8644219.0,165
8644221.0,40
8644223.0,400
8644228.0,72
8644229.0,46
8644231.0,35
8644232.0,58
8644235.0,42
8644237.0,248
8644238.0,36
8644242.0,21
8644244.0,36
8644245.0,209
8644251.0,70
8644253.0,76
8648660.0,73
8644258.0,69
8644263.0,60
8644265.0,305
8644267.0,17
8644268.0,50
8644270.0,57
8644271.0,43
8644274.0,46
8644277.0,283
8644282.0,44
8644284.0,87
8644285.0,40
8644288.0,47
8644290.0,36
8644292.0,73
8644294.0,36
8644295.0,64
8644297.0,55
8644299.0,64
8644302.0,50
8644303.0,43
8644428.0,134
8644429.0,185
8644431.0,50
8644432.0,31
8644434.0,83
8644436.0,81
8644437.0,76
8644438.0,268
8644440.0,47
8644441.0,49
8644442.0,211
8644444.0,123
8644445.0,77
8644447.0,37
8644449.0,38
8644450.0,44
8644451.0,38
8644452.0,109
8644453.0,33
8644454.0,36
8644455.0,222
8644459.0,92
8644460.0,99
8644461.0,53
8644463.0,141
8644464.0,81
8644469.0,91
8644470.0,32
8644472.0,35
8644473.0,42
8644474.0,86
8644479.0,36
8644480.0,53
8644481.0,46
8644483.0,59
8644484.0,38
8644485.0,77
8644486.0,101
8644488.0,91
8644489.0,200
8644492.0,148
8644497.0,132
8644500.0,72
8644503.0,30
8644504.0,54
8644506.0,105
8644510.0,6
8644511.0,22
8644515.0,48
8644516.0,24
8644520.0,64
8644521.0,69
8644523.0,34
8644525.0,28
8644527.0,27
8644530.0,47
8644535.0,23
8644537.0,108
8644538.0,24
8644539.0,34
8644541.0,9
8644542.0,61
8644543.0,55
8644544.0,18
8644546.0,39
8644549.0,57
8644551.0,101
8644555.0,53
8644556.0,51
8644557.0,80
8644559.0,42
8644562.0,31
8644564.0,51
8644565.0,44
8644567.0,49
8644568.0,113
8644570.0,84
8644571.0,30
8644575.0,61
8644577.0,54
8644578.0,212
8644580.0,78
8644583.0,165
8644584.0,100
8644585.0,77
8644587.0,115
8644588.0,54
8644590.0,19
8644591.0,73
8644593.0,54
8644594.0,87
8644598.0,260
8644600.0,49
8644601.0,26
8644603.0,45
8644605.0,52
8644606.0,12
8644608.0,44
8644611.0,50
8644613.0,19
8644614.0,52
8644620.0,24
8644621.0,100
8644622.0,59
8644623.0,99
8644625.0,222
8644627.0,104
8644629.0,135
8644630.0,108
8644632.0,61
8644635.0,41
8644636.0,60
8644639.0,39
8644640.0,90
8644641.0,52
8644642.0,45
8644644.0,55
8644645.0,55
8644646.0,59
8644647.0,21
8644649.0,67
8644652.0,113
8644653.0,121
8644655.0,30
8644656.0,70
8644657.0,49
8644658.0,152
8644660.0,131
8644661.0,62
8644662.0,50
8644665.0,77
8644667.0,45
8644668.0,76
8644670.0,57
8644671.0,56
8644675.0,69
8644676.0,84
8644679.0,130
8644680.0,27
8644682.0,102
8644683.0,94
8644687.0,322
8644689.0,151
8644692.0,49
8644694.0,34
8644696.0,43
8644698.0,75
8644700.0,64
8644701.0,48
8644702.0,34
8644704.0,57
8644705.0,105
8644706.0,86
8644708.0,25
8644710.0,140
8644711.0,51
8644713.0,57
8644715.0,105
8644716.0,59
8644717.0,148
8644718.0,28
8644721.0,55
8644723.0,29
8644724.0,285
8644727.0,66
8644729.0,153
8644735.0,44
8644736.0,22
8644737.0,60
8644739.0,48
8644740.0,135
8644744.0,47
8644747.0,48
8644748.0,66
8644750.0,60
8644756.0,87
8644757.0,109
8644758.0,75
8644759.0,30
8644763.0,48
8644764.0,64
8644766.0,231
8644770.0,69
8644779.0,78
8644780.0,70
8644781.0,32
8644786.0,366
8644789.0,32
8644791.0,121
8644792.0,52
8644794.0,75
8644795.0,145
8644797.0,123
8644800.0,35
8644803.0,60
8644805.0,42
8644806.0,38
8644808.0,56
8644811.0,34
8644812.0,90
8644815.0,69
8644816.0,61
8644817.0,50
8644819.0,35
8644820.0,51
8644821.0,84
8644824.0,58
8644826.0,80
8644830.0,53
8644831.0,103
8644834.0,65
8644835.0,76
8644839.0,101
8644841.0,67
8644842.0,50
8644845.0,42
8644846.0,42
8644847.0,102
8644850.0,66
8644853.0,76
8644855.0,46
8644857.0,56
8644858.0,57
8644860.0,55
8644865.0,182
8644868.0,63
8644872.0,57
8644873.0,38
8644874.0,39
8644877.0,78
8644878.0,57
8644880.0,54
8644881.0,76
8644884.0,30
8644887.0,44
8644889.0,99
8644892.0,410
8644894.0,40
8644895.0,128
8644898.0,54
8644899.0,86
8644901.0,103
8644902.0,54
8644905.0,65
8644906.0,61
8644908.0,69
8644912.0,389
8644914.0,209
8644916.0,26
8644918.0,178
8644919.0,306
8644921.0,92
8644922.0,73
8644924.0,42
8644925.0,28
8644926.0,81
8644927.0,249
8644929.0,85
8644930.0,91
8644934.0,103
8644935.0,79
8644938.0,51
8644940.0,41
8644941.0,68
8644943.0,73
8644945.0,56
8644950.0,64
8644952.0,93
8644956.0,62
8644962.0,297
8644967.0,110
8644970.0,43
8644974.0,59
8644975.0,81
8644978.0,40
8644979.0,115
8644983.0,34
8644985.0,244
8644987.0,250
8644988.0,134
8644990.0,46
8644993.0,36
8644995.0,66
8644997.0,55
8644998.0,53
8645002.0,38
8645005.0,188
8645010.0,58
8645011.0,36
8645013.0,71
8645015.0,234
8645018.0,36
8645019.0,47
8645021.0,188
8645025.0,39
8645026.0,383
8645027.0,65
8645029.0,28
8645030.0,209
8645034.0,55
8645037.0,256
8645038.0,405
8645039.0,107
8645041.0,138
8645044.0,93
8645046.0,206
8645047.0,341
8645050.0,236
8645052.0,39
8645053.0,34
8645054.0,82
8645055.0,76
8645056.0,58
8645059.0,45
8645062.0,86
8645065.0,93
8645066.0,83
8645067.0,49
8645071.0,29
8645075.0,330
8645076.0,55
8645080.0,45
8645081.0,28
8645084.0,94
8645085.0,251
8645088.0,68
8645091.0,43
8645094.0,36
8645096.0,182
8645098.0,75
8645099.0,63
8645102.0,23
8645104.0,260
8645106.0,61
8645107.0,60
8645110.0,40
8645113.0,229
8645114.0,400
8645116.0,35
8645118.0,46
8645121.0,42
8645122.0,58
8645126.0,53
8645127.0,36
8645129.0,184
8645130.0,21
8645132.0,36
8645133.0,186
8645137.0,70
8645140.0,76
8645144.0,69
8645148.0,328
8645150.0,50
8645153.0,56
8645154.0,25
8645157.0,46
8645163.0,44
8645164.0,87
8645168.0,47
8645169.0,36
8645171.0,73
8645174.0,36
8645175.0,67
8645176.0,55
8645177.0,64
8645179.0,63
8645181.0,43
8645184.0,50
8645322.0,50
8645323.0,22
8645327.0,83
8645328.0,82
8645329.0,76
8645330.0,72
8645331.0,47
8645333.0,211
8645334.0,49
8645335.0,76
8645337.0,38
8645339.0,37
8645342.0,72
8645343.0,44
8645344.0,39
8645346.0,110
8645347.0,34
8645349.0,36
8645350.0,222
8645353.0,123
8648734.0,29
8645355.0,146
8645356.0,90
8645357.0,100
8645359.0,53
8645360.0,211
8645364.0,185
8645366.0,91
8645368.0,32
8645369.0,35
8645370.0,66
8645376.0,36
8645377.0,53
8645378.0,46
8645380.0,30
8645381.0,38
8645382.0,128
8645383.0,64
8645384.0,102
8645386.0,164
8645387.0,49
8645390.0,148
8645391.0,286
8645392.0,358
8645395.0,117
8645399.0,72
8645402.0,53
8645403.0,29
8645406.0,105
8645411.0,22
8645413.0,6
8645416.0,53
8645418.0,24
8645421.0,68
8645422.0,64
8645425.0,28
8645427.0,33
8645429.0,27
8645433.0,47
8645436.0,22
8645438.0,180
8645439.0,108
8645442.0,24
8645443.0,34
8645445.0,16
8645446.0,17
8645448.0,55
8645450.0,61
8645453.0,39
8645454.0,46
8645455.0,101
8645456.0,57
8645460.0,81
8645461.0,53
8645462.0,51
8645463.0,42
8645464.0,47
8645466.0,30
8645470.0,113
8645471.0,51
8645474.0,84
8645475.0,30
8645479.0,61
8645480.0,54
8645481.0,78
8645482.0,213
8645484.0,163
8645486.0,74
8645487.0,73
8645488.0,115
8645489.0,19
8645491.0,54
8645493.0,54
8645495.0,88
8645497.0,49
8645499.0,148
8645501.0,45
8645504.0,26
8645506.0,52
8645507.0,12
8645508.0,44
8645509.0,37
8645512.0,19
8645514.0,52
8645521.0,24
8645522.0,207
8645525.0,102
8645526.0,222
8645527.0,241
8645529.0,108
8645531.0,61
8645533.0,61
8645535.0,40
8645536.0,79
8645537.0,82
8645538.0,116
8645539.0,39
8645542.0,45
8645543.0,52
8645544.0,21
8645546.0,216
8645547.0,59
8645548.0,66
8645549.0,58
8645550.0,177
8645552.0,30
8645553.0,71
8645556.0,49
8645557.0,69
8645558.0,70
8645559.0,50
8645560.0,77
8645561.0,62
8645566.0,45
8645567.0,57
8645570.0,84
8645572.0,69
8645574.0,130
8645577.0,27
8645578.0,215
8645580.0,102
8645581.0,133
8645583.0,98
8645584.0,34
8645586.0,37
8645589.0,51
8645591.0,43
8645594.0,74
8645596.0,34
8645597.0,48
8645599.0,64
8645600.0,105
8645602.0,122
8645603.0,86
8645604.0,25
8645607.0,411
8645609.0,141
8645610.0,179
8645611.0,51
8645612.0,48
8645614.0,57
8645615.0,50
8645617.0,28
8645618.0,72
8645619.0,55
8645622.0,29
8645623.0,285
8645624.0,55
8645626.0,90
8645630.0,57
8645631.0,43
8645634.0,22
8645636.0,48
8645637.0,135
8645638.0,443
8645640.0,90
8645645.0,67
8645647.0,87
8645652.0,109
8645653.0,86
8645655.0,30
8645662.0,63
8645666.0,83
8645674.0,78
8645676.0,32
8645677.0,51
8645679.0,134
8645682.0,32
8648702.0,277
8645686.0,52
8645688.0,74
8645690.0,35
8645692.0,26
8645695.0,60
8645696.0,42
8645697.0,38
8645698.0,85
8645702.0,34
8645706.0,90
8645708.0,77
8645709.0,79
8645710.0,50
8645711.0,61
8645712.0,58
8645715.0,80
8645716.0,83
8645717.0,51
8645722.0,103
8645723.0,53
8645724.0,76
8645726.0,141
8645728.0,58
8645734.0,100
8645736.0,52
8645737.0,67
8645738.0,48
8645739.0,70
8648675.0,60
8645741.0,41
8645743.0,74
8645745.0,63
8645747.0,46
8645751.0,51
8645753.0,56
8645755.0,54
8645760.0,182
8645763.0,63
8645766.0,37
8645767.0,57
8645769.0,39
8645772.0,57
8645773.0,44
8645777.0,273
8645779.0,75
8645781.0,29
8648676.0,69
8645786.0,50
8645787.0,44
8645790.0,409
8645792.0,40
8645794.0,93
8645796.0,54
8645797.0,86
8645798.0,123
8645799.0,46
8645800.0,65
8645802.0,61
8645805.0,68
8648666.0,90
8645810.0,389
8645811.0,26
8645815.0,44
8645816.0,306
8645817.0,208
8645818.0,73
8645819.0,42
8645821.0,96
8645822.0,28
8645824.0,81
8645828.0,90
8645829.0,85
8645831.0,66
8645834.0,55
8645835.0,60
8645839.0,39
8645840.0,73
8645844.0,55
8645846.0,64
8645849.0,94
8645857.0,75
8645861.0,280
8645864.0,248
8645865.0,102
8645866.0,275
8645870.0,43
8645871.0,81
8645872.0,32
8645874.0,115
8645876.0,175
8645877.0,98
8645882.0,34
8645884.0,249
8645886.0,30
8645887.0,46
8645888.0,36
8645889.0,152
8645892.0,66
8645893.0,125
8645895.0,55
8645896.0,53
8645899.0,38
8645902.0,238
8645907.0,58
8645909.0,36
8648668.0,84
8645912.0,63
8645914.0,36
8645915.0,47
8645917.0,187
8645918.0,65
8645919.0,383
8645921.0,39
8645925.0,209
8645927.0,56
8645928.0,92
8645929.0,107
8645932.0,222
8645934.0,405
8645936.0,236
8645937.0,93
8645938.0,341
8645941.0,41
8645942.0,53
8645943.0,34
8645947.0,60
8645948.0,52
8645950.0,45
8645953.0,85
8645954.0,174
8645958.0,49
8645959.0,93
8645960.0,82
8645966.0,29
8645969.0,55
8645970.0,331
8645973.0,56
8645975.0,45
8645976.0,28
8645977.0,94
8645982.0,281
8645983.0,68
8645985.0,254
8645987.0,43
8645989.0,44
8645992.0,75
8645993.0,62
8645996.0,95
8645999.0,163
8646001.0,23
8646003.0,60
8646004.0,61
8646009.0,43
8646010.0,400
8646013.0,35
8646014.0,30
8646017.0,57
8646020.0,42
8646024.0,36
8646026.0,21
8646028.0,140
8646032.0,36
8646034.0,184
8646035.0,35
8646037.0,69
8646038.0,76
8646044.0,68
8646047.0,54
8646050.0,338
8646053.0,306
8646054.0,58
8646055.0,50
8646057.0,56
8646060.0,42
8646062.0,274
8646063.0,46
8646067.0,39
8646070.0,44
8646071.0,88
8646074.0,47
8646076.0,73
8646077.0,36
8646079.0,36
8646082.0,65
8646085.0,63
8646087.0,50
8646089.0,43
8646090.0,52
8646218.0,56
8646222.0,72
8646223.0,20
8646230.0,50
8646233.0,83
8646235.0,50
8646237.0,53
8646254.0,71
8646259.0,50
8646260.0,22
8646263.0,83
8646264.0,77
8646265.0,82
8646266.0,47
8646267.0,49
8646269.0,210
8646270.0,123
8646272.0,75
8646273.0,37
8646274.0,38
8646276.0,44
8646277.0,38
8646278.0,34
8646279.0,110
8646282.0,36
8646283.0,222
8646284.0,141
8646285.0,101
8646286.0,92
8646288.0,51
8646292.0,183
8646293.0,91
8646294.0,158
8646295.0,35
8646296.0,33
8646297.0,52
8646301.0,36
8646303.0,55
8646304.0,46
8646306.0,163
8646307.0,53
8646308.0,76
8646309.0,102
8646312.0,93
8646313.0,201
8646315.0,148
8646317.0,77
8646318.0,136
8646323.0,72
8646326.0,53
8646327.0,29
8646331.0,105
8646334.0,13
8646335.0,22
8646338.0,34
8646340.0,24
8646345.0,64
8646346.0,211
8646347.0,68
8646352.0,47
8646354.0,27
8646355.0,28
8646356.0,47
8646362.0,22
8646364.0,24
8646365.0,107
8646368.0,54
8646369.0,34
8646370.0,16
8646371.0,18
8646373.0,55
8646375.0,38
8646377.0,101
8646378.0,42
8646380.0,57
8646381.0,53
8646385.0,51
8646387.0,42
8646389.0,30
8646390.0,47
8646391.0,39
8646394.0,47
8646396.0,112
8646397.0,51
8646399.0,30
8646402.0,83
8646403.0,211
8646405.0,54
8646406.0,61
8646408.0,77
8646410.0,232
8646411.0,74
8646412.0,106
8646413.0,101
8646414.0,54
8646416.0,73
8646420.0,147
8646421.0,54
8646424.0,88
8646425.0,15
8646426.0,49
8646429.0,41
8646431.0,26
8646432.0,52
8646436.0,12
8646437.0,44
8646440.0,38
8646442.0,19
8646446.0,52
8646450.0,24
8646451.0,230
8646453.0,98
8646454.0,104
8646455.0,141
8646458.0,136
8646459.0,108
8646462.0,96
8646463.0,373
8646464.0,61
8646465.0,60
8646466.0,40
8646468.0,54
8646470.0,39
8646471.0,46
8646472.0,52
8646474.0,51
8646475.0,77
8646477.0,17
8646478.0,66
8646479.0,58
8646481.0,71
8646482.0,113
8646484.0,30
8646485.0,70
8646486.0,49
8646487.0,271
8646490.0,58
8646491.0,77
8646493.0,50
8646494.0,94
8646496.0,57
8646497.0,48
8646500.0,76
8646502.0,84
8646503.0,69
8646506.0,58
8646507.0,130
8646509.0,27
8646511.0,101
8646513.0,98
8646514.0,151
8646517.0,34
8646519.0,37
8646520.0,43
8646522.0,73
8646523.0,51
8646526.0,48
8646527.0,34
8646529.0,73
8646530.0,105
8646534.0,25
8646537.0,141
8646538.0,51
8646539.0,48
8646542.0,49
8646544.0,57
8646545.0,28
8646547.0,86
8646548.0,55
8646550.0,29
8646551.0,150
8646552.0,285
8646559.0,43
8646561.0,56
8646562.0,22
8646563.0,149
8646565.0,134
8646566.0,48
8646569.0,90
8646572.0,67
8646574.0,77
8646575.0,59
8646581.0,108
8646583.0,86
8646587.0,30
8646590.0,193
8646592.0,63
8646595.0,231
8646597.0,69
8646609.0,78
8646610.0,32
8646611.0,123
8646615.0,32
8646618.0,74
8646619.0,51
8646620.0,40
8646622.0,46
8646623.0,26
8646624.0,35
8646627.0,60
8646629.0,324
8646630.0,42
8646631.0,38
8646632.0,85
8646633.0,55
8646635.0,34
8646639.0,90
8646642.0,50
8646643.0,61
8646644.0,79
8646645.0,58
8646646.0,83
8646648.0,94
8646653.0,80
8646657.0,103
8646658.0,53
8646661.0,57
8646662.0,76
8646668.0,100
8646669.0,81
8646670.0,70
8646672.0,101
8646673.0,41
8646674.0,48
8646675.0,67
8646677.0,76
8646680.0,59
8646683.0,51
8646686.0,124
8646688.0,54
8646692.0,182
8646694.0,57
8646696.0,63
8646698.0,37
8646700.0,57
8646701.0,39
8646704.0,51
8646705.0,44
8646706.0,57
8646709.0,69
8646710.0,61
8646711.0,87
8646714.0,29
8646716.0,37
8646718.0,409
8646723.0,93
8646724.0,39
8646726.0,86
8646727.0,102
8646728.0,57
8646730.0,65
8646733.0,61
8646735.0,244
8646739.0,382
8646741.0,26
8646743.0,178
8646744.0,306
8646747.0,42
8646750.0,92
8646751.0,28
8646752.0,250
8646753.0,81
8646754.0,51
8646755.0,90
8646759.0,104
8646761.0,51
8646763.0,69
8646766.0,39
8646767.0,73
8646771.0,55
8646775.0,94
8646777.0,64
8646784.0,69
8646787.0,298
8646789.0,112
8646793.0,102
8646797.0,43
8646798.0,276
8646799.0,114
8646800.0,59
8646802.0,81
8646803.0,365
8646805.0,28
8646808.0,244
8646809.0,34
8646815.0,65
8646816.0,30
8646817.0,64
8646818.0,46
8646819.0,62
8646822.0,36
8646824.0,66
8646826.0,29
8646828.0,54
8646829.0,53
8646831.0,37
8646835.0,188
8646838.0,36
8646840.0,58
8646841.0,69
8646844.0,63
8646845.0,383
8646846.0,47
8646847.0,36
8646848.0,67
8646850.0,160
8646851.0,157
8646854.0,39
8646855.0,383
8646856.0,63
8646859.0,209
8646863.0,56
8646865.0,256
8646867.0,107
8646870.0,140
8646871.0,160
8646874.0,93
8646875.0,341
8646878.0,236
8646880.0,34
8646881.0,53
8646883.0,57
8646884.0,75
8646886.0,142
8646887.0,45
8646888.0,52
8646891.0,85
8646893.0,174
8646894.0,49
8646895.0,151
8646896.0,92
8646901.0,29
8646902.0,147
8646906.0,331
8646907.0,55
8646910.0,27
8646914.0,45
8646915.0,94
8646916.0,251
8646920.0,68
8646923.0,43
8646925.0,19
8646928.0,183
8646929.0,75
8646932.0,52
8646936.0,307
8646939.0,23
8646941.0,61
8646943.0,60
8646945.0,229
8646947.0,40
8646949.0,400
8646951.0,73
8646952.0,46
8646953.0,35
8646954.0,42
8646957.0,57
8646958.0,104
8646960.0,37
8648672.0,66
8646963.0,185
8646964.0,21
8646966.0,208
8646970.0,69
8646972.0,24
8646974.0,75
8646977.0,201
8646978.0,68
8646980.0,267
8646983.0,67
8646987.0,306
8646989.0,50
8646992.0,25
8646994.0,56
8646998.0,274
8646999.0,46
8647002.0,55
8647004.0,88
8647005.0,39
8647008.0,47
8647011.0,73
8647012.0,56
8647014.0,36
8647016.0,55
8647019.0,169
8647020.0,64
8647022.0,43
8647023.0,66
8647026.0,50
8647163.0,176
8647166.0,33
8647167.0,54
8647169.0,53
8647171.0,53
8647173.0,53
8647175.0,53
8647190.0,51
8647193.0,22
8647195.0,83
8647196.0,82
8647197.0,72
8647198.0,77
8647199.0,47
8647200.0,210
8647202.0,49
8647204.0,122
8647205.0,75
8647207.0,38
8647211.0,193
8647212.0,37
8647213.0,44
8647214.0,390
8647215.0,34
8647216.0,39
8647218.0,36
8647219.0,222
8647222.0,339
8647223.0,90
8647225.0,101
8647226.0,51
8647231.0,90
8647232.0,35
8647233.0,33
8647235.0,133
8647236.0,41
8647237.0,66
8647241.0,36
8647242.0,46
8647243.0,59
8647245.0,104
8647247.0,30
8647248.0,174
8647249.0,59
8647250.0,401
8647251.0,53
8647252.0,75
8647253.0,102
8647255.0,49
8647257.0,135
8647259.0,144
8647265.0,72
8647270.0,29
8647271.0,53
8647275.0,104
8647280.0,22
8647281.0,6
8647283.0,53
8647287.0,22
8647289.0,278
8647291.0,63
8647292.0,68
8647294.0,27
8647296.0,28
8647297.0,35
8647302.0,47
8647306.0,22
8647307.0,107
8647308.0,24
8647312.0,34
8647314.0,55
8647315.0,16
8647316.0,15
8647318.0,38
8647321.0,57
8647322.0,101
8647326.0,379
8647327.0,82
8647328.0,65
8647330.0,51
8647331.0,41
8647333.0,47
8647334.0,30
8647337.0,39
8647338.0,51
8647339.0,43
8647342.0,47
8647343.0,112
8647346.0,83
8647347.0,30
8647349.0,61
8647350.0,63
8647353.0,77
8647354.0,232
8647355.0,74
8647356.0,159
8647360.0,115
8647362.0,53
8647363.0,73
8647364.0,19
8647366.0,218
8647367.0,87
8647368.0,54
8647371.0,49
8647372.0,184
8647374.0,45
8648678.0,39
8647377.0,26
8647380.0,12
8647381.0,52
8647384.0,38
8647385.0,44
8647386.0,19
8647388.0,55
8647394.0,24
8647396.0,178
8647397.0,222
8647398.0,102
8647403.0,108
8647405.0,136
8647406.0,61
8647407.0,150
8647408.0,61
8647411.0,79
8647412.0,40
8647413.0,182
8647414.0,40
8647415.0,91
8647417.0,46
8647418.0,49
8647420.0,47
8647421.0,17
8647423.0,58
8647424.0,106
8647425.0,66
8647429.0,30
8647430.0,69
8647431.0,71
8647432.0,69
8647433.0,49
8647435.0,128
8647436.0,93
8647438.0,50
8647439.0,77
8647442.0,57
8647443.0,48
8647449.0,69
8647451.0,84
8647455.0,130
8647457.0,27
8647458.0,213
8647461.0,101
8647464.0,98
8647465.0,150
8647467.0,74
8647469.0,37
8647471.0,51
8647474.0,73
8647476.0,43
8647477.0,34
8647479.0,34
8647480.0,47
8647482.0,172
8647483.0,105
8647486.0,230
8647490.0,25
8647491.0,141
8647494.0,50
8647495.0,120
8647496.0,48
8647498.0,57
8647500.0,49
8647501.0,62
8647502.0,86
8647503.0,55
8647504.0,28
8647507.0,89
8647510.0,55
8647514.0,56
8647516.0,43
8647517.0,22
8647518.0,60
8647519.0,48
8647521.0,133
8647528.0,67
8647529.0,77
8647530.0,170
8647533.0,59
8647537.0,108
8647539.0,86
8647542.0,175
8647547.0,63
8647552.0,82
8647560.0,78
8647562.0,32
8647565.0,58
8647567.0,65
8647569.0,32
8647571.0,121
8647573.0,60
8647574.0,51
8647578.0,26
8647579.0,35
8647580.0,191
8647583.0,60
8647585.0,85
8647586.0,42
8647587.0,38
8647590.0,34
8647593.0,77
8647594.0,90
8647595.0,61
8647596.0,68
8647597.0,49
8647598.0,83
8647599.0,58
8647603.0,52
8648679.0,73
8647605.0,79
8647607.0,57
8647610.0,103
8647612.0,53
8647613.0,82
8647615.0,57
8647617.0,76
8647619.0,38
8647623.0,70
8648760.0,39
8647626.0,100
8647627.0,51
8647629.0,80
8647630.0,41
8647631.0,48
8647633.0,67
8647636.0,76
8647638.0,59
8647639.0,67
8647640.0,56
8647644.0,54
8647648.0,182
8647653.0,57
8647654.0,80
8647655.0,37
8647656.0,38
8647660.0,161
8647662.0,76
8647664.0,36
8647666.0,75
8647667.0,51
8647671.0,29
8647672.0,44
8647676.0,408
8647679.0,39
8647680.0,124
8647682.0,54
8647683.0,101
8647684.0,85
8647685.0,148
8647686.0,54
8647688.0,65
8647692.0,61
